"cod_cidade";"nom_cidade"
249;"ALIANCA DO TOCANTINS"
250;"ALMAS"
251;"ALMEIRIM"
252;"ALMENARA"
253;"ALMINO AFONSO"
254;"ALMIRANTE TAMANDARE DO SUL"
255;"ALMIRANTE TAMANDARE"
256;"ALOANDIA"
257;"ALPERCATA"
258;"ALPESTRE"
259;"ALPINOPOLIS"
260;"ALTA ALEGRE DOS PARECIS"
261;"ALTA FLORESTA"
262;"ALTA FLORESTA DO OESTE"
263;"ALTAIR"
264;"ALTAMIRA"
265;"ALTAMIRA DO MARANHAO"
266;"ALTAMIRA DO PARANA"
267;"ALTANEIRA"
268;"ALTEROSA"
269;"ALTINHO"
270;"ALTINOPOLIS"
271;"ALTO ALEGRE"
272;"ALTO ALEGRE"
273;"ALTO ALEGRE"
274;"ALTO ALEGRE DO MARANHAO"
275;"ALTO ALEGRE DO PINDARE"
276;"ALTO ARAGUAIA"
277;"ALTO BOA VISTA"
278;"ALTO CAPARAO"
279;"ALTO DO RODRIGUES"
280;"ALTO FELIZ"
281;"ALTO GARCAS"
282;"ALTO HORIZONTE"
283;"ALTO JEQUITIBA"
284;"ALTO LONGA"
285;"ALTONIA"
286;"ALTO PARAGUAI"
287;"ALTO PARAISO"
288;"ALTO PARAISO DE GOIAS"
289;"ALTO PARANA"
290;"ALTO PARNAIBA"
291;"ALTO PIQUIRI"
292;"ALTO RIO DOCE"
293;"ALTO RIO NOVO"
294;"ALTOS"
295;"ALTO SANTO"
296;"ALTO TAQUARI"
297;"ALUMINIO"
298;"ALVARAES"
299;"ALVARES FLORENCE"
300;"ALVARES MACHADO"
301;"ALVARO DE CARVALHO"
302;"ALVINLANDIA"
303;"ALVINOPOLIS"
304;"ALVORADA"
305;"ALVORADA"
306;"ALVORADA DO GURGUEIA"
307;"ALVORADA DO NORTE"
308;"ALVORADA DO OESTE"
309;"ALVORADA DO SUL"
310;"AMAJARI"
311;"AMAMBAI"
312;"AMAPA"
313;"AMAPA DO MARANHAO"
314;"AMAPORA"
315;"AMARAJI"
316;"AMARAL FERRADOR"
317;"AMARALINA"
318;"AMARANTE"
319;"AMARANTE DO MARANHAO"
320;"AMARGOSA"
321;"AMELIA RODRIGUES"
322;"AMERICA DOURADA"
323;"AMERICANA"
324;"AMERICANO DO BRASIL"
326;"AMERICO DE CAMPOS"
327;"AMETISTA DO SUL"
328;"AMONTADA"
329;"AMORINOPOLIS"
330;"AMPARO"
331;"AMPARO"
332;"AMPERE"
333;"ANADIA"
334;"ANAGE"
335;"ANAHY"
336;"ANAJAS"
337;"ANAJATUBA"
338;"ANALANDIA"
339;"ANANAS"
341;"ANAPOLIS"
342;"ANAPU"
343;"ANAPURUS"
344;"ANASTACIO"
345;"ANAURILANDIA"
347;"ANCHIETA"
348;"ANDARAI"
349;"ANDIRA"
350;"ANDORINHA"
351;"ANDRADAS"
353;"ANDRE DA ROCHA"
354;"ANDRELANDIA"
355;"ANGATUBA"
356;"ANGELICA"
357;"ANGELIM"
358;"ANGELINA"
359;"ANGICAL"
360;"ANGICAL DO PIAUI"
361;"ANGICO"
362;"ANGICOS"
363;"ANGRA DOS REIS"
364;"ANGUERA"
365;"ANGULO"
366;"ANHEMBI"
367;"ANHUMAS"
368;"ANICUNS"
369;"ANISIO DE ABREU"
370;"ANITA GARIBALDI"
371;"ANITAPOLIS"
372;"ANORI"
373;"ANTA GORDA"
374;"ANTAS"
375;"ANTONINA"
376;"ANTONINA DO NORTE"
377;"ANTONIO CARDOSO"
378;"ANTONIO CARLOS"
379;"ANTONIO CARLOS"
380;"ANTONIO DIAS"
381;"ANTONIO GONCALVES"
382;"ANTONIO JOAO"
383;"ANTONIO MARTINS"
384;"ANTONIO OLINTO"
385;"ANTONIO PRADO"
386;"ANTONIO PRADO DE MINAS"
387;"APARECIDA"
388;"APARECIDA"
389;"APARECIDA DE GOIANIA"
390;"APARECIDA DO RIO DOCE"
391;"APARECIDA DO RIO NEGRO"
392;"APARECIDA DO TABOADO"
393;"APERIBE"
394;"APIACAS"
395;"APIAI"
396;"APIUNA"
397;"APODI"
398;"APORA"
399;"APORE"
400;"APUAREMA"
401;"APUCARANA"
402;"APUI"
403;"APUIARES"
404;"AQUIDABA"
405;"AQUIDAUANA"
406;"AQUIRAZ"
407;"ARABUTA"
408;"ARACAGI"
